claim_id,adjuster_note
CLM50001,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50002,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50003,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50004,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50005,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50006,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50007,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50008,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50009,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50010,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50011,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50012,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50013,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50014,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50015,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50016,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50017,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50018,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50019,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50020,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50021,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50022,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50023,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50024,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50025,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50026,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50027,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50028,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50029,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50030,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50031,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50032,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50033,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50034,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50035,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50036,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50037,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50038,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50039,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50040,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50041,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50042,Claimant statement matches passenger statement word for word. No police report at scene. Repair estimate from shop received before inspection.
CLM50043,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50044,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50045,Claimant statement matches passenger statement word for word. No police report at scene. Repair estimate from shop received before inspection.
CLM50046,Claimant statement matches passenger statement word for word. No police report at scene. Repair estimate from shop received before inspection.
CLM50047,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50048,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50049,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50050,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50051,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50052,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50053,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50054,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50055,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50056,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50057,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50058,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50059,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50060,Estimate revised upward twice after initial appraisal. Additional parts claimed not consistent with photos. Claimant requested specific appraiser.
CLM50061,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50062,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50063,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50064,Second claim this quarter involving this repair facility. Photos show pre-existing rust at impact point. Tow initiated before FNOL call.
CLM50065,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50066,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50067,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50068,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50069,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50070,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50071,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50072,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50073,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50074,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50075,Injuries reported by all occupants despite minor bumper damage. Same clinic for all treatments. Claimant unreachable at listed address.
CLM50076,Weather-related single vehicle loss. Adjuster inspection matches estimate. No injuries reported.
CLM50077,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50078,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50079,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50080,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50081,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50082,"Rear-end collision at signal, police report on file, photos consistent with damage. Standard repair authorized."
CLM50083,"Parking lot impact, third party accepted liability. Repair completed at network shop."
CLM50084,"Parking lot impact, third party accepted liability. Repair completed at network shop."
